Consolidated List of Names subject to the Regulations Establishing a List of Entities made under subsection 83.05(1) of the Criminal Code or the Regulations Implementing the United Nations Resolutions 			
on the Suppression of Terrorism or the United Nations Al-Qaida and Taliban Regulations			
PART B – ENTITIES (other than individuals) (download version)1			
"(Names added to the list in October, 2009 are in bold)."			
ID #2	Entity	Address/Other Information	Basis3 (UNSC = United Nations Security Council; RIUNRST = Regulations Implementing the United Nations Resolutions on the Suppression of Terrorism; CC = Criminal Code)
76.01	Parti des Travailleurs du Kurdistan (PKK)		"CC (May 17, 2004)"
76.03	Partya Karkeren Kurdistan		"CC (May 17, 2004)"
76.05	Kurdistan Workers Party		"CC (May 17, 2004)"
76.06	Kurdistan Labor Party		"CC (May 17, 2004)"
76.07	Kurdistan Freedom and Democracy Congress		"CC (May 17, 2004)"
76.08	KADEK		"CC (May 17, 2004)"
76.09	Parti des Travailleurs du Kurdistan		"CC (May 17, 2004)"
76.10	Congrès pour la Liberté et la Démocratie au Kurdistan		"CC (May 17, 2004)"
76.11	Kurdistan People's Congress		"CC (May 17, 2004)"
76.12	Kurdistan Halk Kongresi (KHK)		"CC (May 17, 2004)"
76.13	People's Congress of Kurdistan		"CC (May 17, 2004)"
76.14	Kongra-Gel		"CC (May 17, 2004)"
76.15	Congrès du peuple du Kurdistan		"CC (May 17, 2004)"
76.16	Congrès populaire du Kurdistan		"CC (May 17, 2004)"
77.00	Lashkar-e-Tayyiba (LeT)		"CC (June 18, 2003)"
77.01	Army of the Righteous		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.02	Lashkar-e-Toiba		"CC (June 18, 2003); UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.03	Lashkar-i-Taiba		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.06	Lashkar-i-Taiba (Holy Regiment)		"CC (June 18, 2003)"
77.07	Lashkar-e-Tayyiba (LT) (Army of the Righteous)		"CC (June 18, 2003)"
77.08	Lashkar-e-Taibyya		"CC (June 18, 2003); UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.09	Lashkar-e-Taiba		"CC (June 18, 2003)"
77.10	Lashkar-e-Tayyiba (Army of the Pure and Righteous)		"CC (June 18, 2003)"
77.11	Lashkar-e-Taiba (Righteous Army)		"CC (June 18, 2003)"
77.12	Lashkar-Taiba (Army of the Good)		"CC (June 18, 2003)"
77.13	Lashkar e Toiba		"CC (June 18, 2003)"
77.14	Lashkar e Taiba		"CC (June 18, 2003)"
77.15	Lahkar-E-Tayyaba		"CC (June 18, 2003)"
77.16	Lashkar e Tayyiba		"CC (June 18, 2003)"
77.17	Lashkar-e-Taïba		"CC (June 18, 2003)"
77.18	Lashkar-i-Toiba (LiT)		"CC (June 18, 2003)"
77.19	Lashkar-i-Taiba (Saint Régiment)		"CC (June 18, 2003)"
77.20	Lashkar-e-Tayyiba (LT) (Armée des justes)		"CC (June 18, 2003)"
77.21	Lashkar-e-Tayyiba (Armée des purs et des justes)		"CC (June 18, 2003)"
77.22	Lashkar-e-Taiba (Armée des justes)		"CC (June 18, 2003)"
77.23	Lashkar-Taiba (Armée des bons)		"CC (June 18, 2003)"
77.24	al Mansoorian		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.25	al Mansooreen		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.26	Army of the Pure		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.27	Army of the Pure and Righteous		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.28	Paasban-e-Kashmir		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.29	Paasban-i-Ahle-Hadith		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.30	Pasban-e-Kashmir		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.31	Pasban-e-Ahle-Hadith		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.32	Paasban-e-Ahle-Hadis		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.33	Pashan-e-ahle Hadis		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.34	Lashkar e Tayyaba		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.35	LET		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.36	Lashkar-e-Tayyiba		"CC (June 18, 2003)"
77.37	Jamaat-ud-Dawa		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.38	JUD		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.39	"Jama,at al-Dawa"		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.40	Jamaat ud-Daawa		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.41	Jamaat ul-Dawah		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.42	Jamaat-ul-Dawa		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.43	"Jama,at-i-Dawat"		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.44	Jamaiat-ud-Dawa		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.45	"Jama,at-ud-Da,awah"		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.46	"Jama,at-ud-Da,awa"		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
77.47	Jamaati-ud-Dawa		"UNSC (May 2, 2005); UNSC (November 3, 2005); UNSC (December 10, 2008)"
78.00	Liberation Tigers of Tamil Eelam (LTTE)		"CC (April 8, 2006)"
78.02	Tamil Tigers		"CC (April 8, 2006)"
78.03	Ellalan Force		"CC (April 8, 2006)"
78.04	Eellalan Force		"CC (April 8, 2006)"
78.05	Tiger Movement		"CC (April 8, 2006)"
78.06	Sangilian Force		"CC (April 8, 2006)"
78.07	Air Tigers		"CC (April 8, 2006)"
78.08	Black Tigers (Karum Puligal)		"CC (April 8, 2006)"
78.09	Sea Tigers		"CC (April 8, 2006)"
78.10	Tiger Organization Security Intelligence Service (TOSIS)		"CC (April 8, 2006)"
78.11	Women’s Combat Force of Liberation Tigers (WCFLT)		"CC (April 8, 2006)"
78.12	Tigres libérateurs de l’Eelam tamoul (TLET)		"CC (April 8, 2006)"
78.13	Tigres tamouls		"CC (April 8, 2006)"
78.14	Force Eellalan		"CC (April 8, 2006)"
78.15	Force Ellalan		"CC (April 8, 2006)"
78.16	Mouvement des Tigres		"CC (April 8, 2006)"
78.17	Force Sangilian		"CC (April 8, 2006)"
78.18	Tigres de l’air		"CC (April 8, 2006)"
78.19	Tigres noirs (Karum Puligal)		"CC (April 8, 2006)"
78.20	Tigres de la mer		"CC (April 8, 2006)"
78.21	Service de renseignements et de sécurité de l’Organisation des Tigres (SRSOT)		"CC (April 8, 2006)"
78.22	Force combattante des femmes des Tigres de libération (FCFTL)		"CC (April 8, 2006)"
79.00	Libyan Islamic Fighting Group		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
79.01	LIFG		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
80.00	Loyalist Volunteer Force (LVF)		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
80.01	Force des volontaires loyalistes		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
81.00	Mamoun Darkazanli Import-Export Company	"Uhlenhorsterweg 34 11; Hamburg, Germany   "	"UNSC (October 6, 2001)"
81.02	Darkazanli Company	"Uhlenhorsterweg 34 11; Hamburg, Germany   "	"UNSC (October 6, 2001)"
81.03	Darkazanli Export-Import Sonderposten	"Uhlenhorsterweg 34 11; Hamburg, Germany   "	"UNSC (October 6, 2001)"
82.01	Sãzimãn-i Mujãhid?n-i Khalq-i Irãn (Holy Warrior Organization of the Iranian People)		"CC (May 24, 2005)"
82.03	Sazman-i Mojahedin-i Khalq-i Iran (Organization of the Freedom Fighters of the Iranian People)		"CC (May 24, 2005)"
82.05	Sazeman-e Mojahedin-e Khalq-e Iran (Organization of People’s Holy Warriors of Iran)		"CC (May 24, 2005)"
82.07	Sazeman-e-Mujahideen-e-Khalq-e-Iran		"CC (May 24, 2005)"
82.08	Mujahedin-e-Khalq (MEK)		"CC (May 24, 2005)"
82.09	Mojahedin-e Khalq Organization (MKO)		"CC (May 24, 2005)"
82.10	Mujahiddin e Khahq		"CC (May 24, 2005)"
82.11	al-Khalq Mujahideen Organization		"CC (May 24, 2005)"
82.12	Mujahedeen Khalq		"CC (May 24, 2005)"
82.13	Modjaheddins khalg		"CC (May 24, 2005)"
82.14	Moudjahiddin-é Khalq		"CC (May 24, 2005)"
82.15	National Liberation Army of Iran (NLA) (The military wing of the MEK)		"CC (May 24, 2005)"
82.16	Armée de Libération nationale iranienne (ALNI)		"CC (May 24, 2005)"
82.17	People’s Mujahidin Organization of Iran (PMOI)		"CC (May 24, 2005)"
82.18	People’s Mujahedin of Iran (PMOI)		"CC (May 24, 2005)"
82.19	Organisation des moudjahiddin du peuple d’Iran (OMPI)		"CC (May 24, 2005)"
82.20	Organisation des moudjahidines du peuple		"CC (May 24, 2005)"
84.03	Ejército de Liberación Nacional (ELN)		"CC (April 2, 2003)"
84.05	National Liberation Army		"CC (April 2, 2003)"
84.06	Army of National Liberation		"CC (April 2, 2003)"
84.07	Armée nationale de liberation		"CC (April 2, 2003)"
84.08	Armée de libération nationale		"CC (April 2, 2003)"
85.00	Orange Volunteers		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
85.01	Les Volontaires d'Orange		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
86.00	Palestinian Islamic Jihad (PIJ)		"CC (November 27, 2002)"
86.13	Islamic Jihad Palestine (IJP)		"CC (November 27, 2002)"
86.14	Islamic Jihad - Palestine Faction		"CC (November 27, 2002)"
86.15	Islamic Holy War		"CC (November 27, 2002)"
86.16	Jihad islamique palestinien (JIP)		"CC (November 27, 2002)"
86.17	Jihad islamique de Palestine (JIP)		"CC (November 27, 2002)"
86.18	Jihad islamique - Faction palestinienne		"CC (November 27, 2002)"
86.19	Guerre sainte islamique		"CC (November 27, 2002)"
87.00	Palestine Liberation Front (PLF)		"CC (November 13, 2003)"
87.04	PLF - Abu Abbas Faction		"CC (November 13, 2003)"
87.05	Front for the Liberation of Palestine (FLP)		"CC (November 13, 2003)"
87.06	Front de libération de la Palestine (FLP)		"CC (November 13, 2003)"
87.07	FLP - Faction Abou Abbas		"CC (November 13, 2003)"
88.00	Parka Trading Company	"P.O. Box 3313, Deira, Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
89.00	Popular Front for the Liberation of Palestine (PFLP) (Al-Jibha al-Sha'biya lil-Tahrir Filistin)		"CC (November 13, 2003)"
89.01	Front populaire de libération de la Palestine (FPLP) (Al-Jibha al-Sha'biya lil-Tahrir Filistin)		"CC (November 13, 2003)"
90.01	Popular Front for the Liberation of Palestine-General Command (PFLP-GC) (Al-Jibha Sha'biya lil-Tahrir Filistin-al-Qadiya al-Ama)		"CC (November 13, 2003)"
90.03	Front populaire de libération de la Palestine - Commandement général (FPLP-CG) (Al-Jibha Sha'biya lil-Tahrir Filistin-al-Qadiya al-Ama)		"CC (November 13, 2003)"
91.00	Rabita Trust	"Room 9a, 2nd Floor, Wahdat Road, Education Town, Lahore, Pakistan; Wares Colony, Lahore, Pakistan"	"UNSC (October 17, 2001)"
92.00	Real IRA		"RIUNRST (June 23, 2006)"
93.00	Red Hand Defenders (RHD)		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
93.01	Les défenseurs de la main rouge		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
94.00	Red Sea Barakat Company Limited	"Mogadishu, Somalia; Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
95.00	Revival of Islamic Heritage Society	"Pakistan, Afghanistan; Other information: Only the Pakistan and Afghanistan offices of this entity are hereby designated"	"UNSC (January 11, 2002); UNSC (July 25, 2006); UNSC (March 5, 2009)"
95.01	Jamiat Ihia Al-Turath Al-Islamiya	"Pakistan, Afghanistan; Other information: Only the Pakistan and Afghanistan offices of this entity are hereby designated"	"UNSC (January 11, 2002); UNSC (July 25, 2006); UNSC (March 5, 2009)"
95.02	Revival of Islamic Society Heritage on the African Continent	"Pakistan, Afghanistan; Other information: Only the Pakistan and Afghanistan offices of this entity are hereby designated"	"UNSC (January 11, 2002); UNSC (July 25, 2006); UNSC (March 5, 2009)"
95.03	Jamia Ihya ul-Turath	"Pakistan, Afghanistan; Other information: Only the Pakistan and Afghanistan offices of this entity are hereby designated"	"UNSC (January 11, 2002); UNSC (July 25, 2006); UNSC (March 5, 2009)"
95.04	RIHS	"Pakistan, Afghanistan; Other information: Only the Pakistan and Afghanistan offices of this entity are hereby designated"	"UNSC (January 11, 2002); UNSC (July 25, 2006); UNSC (March 5, 2009)"
96.02	Fuerzas Armadas Revolucionarias de Colombia (FARC)		"CC (April 2, 2003)"
96.05	Revolutionary Armed Forces of Columbia		"CC (April 2, 2003)"
96.06	"Revolutionary Armed Forces of Columbia-People's Army (Fuerzas Armadas Revolucionarias de Columbia-Ejército del Pueblo, FARC-EP)"		"CC (April 2, 2003)"
96.07	National Finance Commission (Comisión Nacional de Finanzas)		"CC (April 2, 2003)"
96.08	Coordinadora Nacional Guerrillera Simon Bolivar (CNGSB)		"CC (April 2, 2003)"
96.09	Forces armées révolutionnaires de Colombie		"CC (April 2, 2003)"
96.10	"Forces armées révolutionnaires de Colombie-Armée du peuple (Fuerzas Armadas Revolucionarias de Colombia-Ejército del Pueblo, FARC-EP)"		"CC (April 2, 2003)"
96.11	Commission nationale des finances (Comisión Nacional de Finanzas)		"CC (April 2, 2003)"
97.00	Revolutionary Nuclei (formerly ELA)		"RIUNRST (June 23, 2006)"
98.00	Revolutionary Organization 17 November		"RIUNRST (June 23, 2006)"
98.01	Organisation révolutionnaire 17 novembre		"RIUNRST (June 23, 2006)"
99.00	Revolutionary People's Liberation Army/Front (DHKP/C)		"RIUNRST (June 23, 2006)"
99.01	Parti révolutionnaire populaire de libération-Front (DHKP/C)		"RIUNRST (June 23, 2006)"
100.00	Salafist Group for Call and Combat (GSPC)	Estimated in Nov. 2007 to comprise approx. 700 members regrouped in cells in Algeria and northern Mali. Its Emir is Abdelmalek Droukdel (listed under permanent reference number QI.D.232.07.).	"CC (July 23, 2002)"
100.01	Le Groupe Salafiste pour la Prédication et le Combat (GSPC)	Estimated in Nov. 2007 to comprise approx. 700 members regrouped in cells in Algeria and northern Mali. Its Emir is Abdelmalek Droukdel (listed under permanent reference number QI.D.232.07.).	"UNSC (October 6, 2001); UNSC (April 26, 2007); UNSC (April 7, 2008); UNSC (July 17, 2009)"
100.02	Salafist Group for Call and Combat	Estimated in Nov. 2007 to comprise approx. 700 members regrouped in cells in Algeria and northern Mali. Its Emir is Abdelmalek Droukdel (listed under permanent reference number QI.D.232.07.).	"UNSC (October 6, 2001); UNSC (April 26, 2007); UNSC (April 7, 2008); UNSC (July 17, 2009)"
100.03	Groupe salafiste pour la prédication et le combat	Estimated in Nov. 2007 to comprise approx. 700 members regrouped in cells in Algeria and northern Mali. Its Emir is Abdelmalek Droukdel (listed under permanent reference number QI.D.232.07.).	"CC (July 23, 2002)"
100.04	The Organization of Al-Qaida in the Islamic Maghreb	Estimated in Nov. 2007 to comprise approx. 700 members regrouped in cells in Algeria and northern Mali. Its Emir is Abdelmalek Droukdel (listed under permanent reference number QI.D.232.07.).	"UNSC (October 6, 2001); UNSC (April 26, 2007); UNSC (April 7, 2008); UNSC (July 17, 2009)"
100.05	Al Qaïda au Maghreb islamique (AQMI)	Estimated in Nov. 2007 to comprise approx. 700 members regrouped in cells in Algeria and northern Mali. Its Emir is Abdelmalek Droukdel (listed under permanent reference number QI.D.232.07.).	"UNSC (October 6, 2001); UNSC (April 26, 2007); UNSC (April 7, 2008); UNSC (July 17, 2009)"
100.06	Groupe salafiste pour la prédication et le combat (GSPC)	Estimated in Nov. 2007 to comprise approx. 700 members regrouped in cells in Algeria and northern Mali. Its Emir is Abdelmalek Droukdel (listed under permanent reference number QI.D.232.07.).	"CC (July 23, 2002)"
101.00	Shining Path		"CC (February 12, 2003)"
101.01	Sentier lumineux		"CC (February 12, 2003)"
101.02	Sendero Luminoso (SL)		"CC (February 12, 2003)"
101.03	Partido Comunista del Peru en el Sendero Luminoso De Jose Carlos Mariategui		"CC (February 12, 2003)"
101.04	Communist Party of Peru on the Shining Path of Jose Carlos Mariategui		"CC (February 12, 2003)"
101.05	Partido Comunista Del Peru		"CC (February 12, 2003)"
101.06	Communist Party of Peru		"CC (February 12, 2003)"
101.13	"The Communist Party of Peru by the Shining Path of Jose Carlos Mariategui and Marxism, Leninism, Maoism and the Thoughts of Chairman Gonzalo"		"CC (February 12, 2003)"
101.14	Revolutionary Student Front for the Shining Path of Mariategui		"CC (February 12, 2003)"
101.15	Communist Party of Peru - By Way of the Shining Path of Mariategui		"CC (February 12, 2003)"
101.16	PCP - por el Sendero Luminoso de Mariategui		"CC (February 12, 2003)"
101.17	PCP		"CC (February 12, 2003)"
101.18	PCP-SL		"CC (February 12, 2003)"
101.19	Parti communiste du Pérou sur le Sentier lumineux de Jose Carlos Mariategui		"CC (February 12, 2003)"
101.20	Parti communiste du Pérou		"CC (February 12, 2003)"
101.21	"Parti communiste du Pérou le long du Sentier lumineux de Jose Carlos Mariategui, Marxisme, Léninisme, Maoïsme et les Pensées du président Gonzalo"		"CC (February 12, 2003)"
101.22	Front révolutionnaire étudiant pour le Sentier lumineux de Mariategui		"CC (February 12, 2003)"
101.23	Parti communiste du Pérou dans la voie lumineuse de Mariategui		"CC (February 12, 2003)"
102.00	Somali International Relief Organization	"1806 Riverside Avenue, 2nd Floor, Minneapolis, Minnesota, United States of America"	"UNSC (November 9, 2001)"
103.00	Somali Internet Company	"Mogadishu, Somalia"	"UNSC (November 9, 2001)"
104.00	Somali Network AB	"Hallbybacken 15, Spanga 70, Sweden"	"UNSC (November 9, 2001)"
105.00	Ulster Defence Association (UDA)		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
105.01	Ulster Freedom Fighters (UFF)		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
105.02	Association pour la défense de l'Ulster (UDA)		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
106.00	Ummah Tameer E-Nau (UTN)	"Street 13, Wazir Akbar Khan, Kabul, Afghanistan; Pakistan"	"UNSC (December 24, 2001)"
107.02	Autodefensas Unidas de Colombia (AUC)		CC (Apr 2 2003)
107.05	Autodéfenses unies de Columbie		CC (Apr 2 2003)
107.06	United Self-Defense Forces of Columbia		CC (Apr 2 2003)
108.00	Wafa Humanitarian Organization	"Jordan House No. 125, Street 54, Phase II, Hayatabad, Peshawar, Pakistan; Saudi Arabia; Kuwait; United Arab Emirates"	"UNSC (October 6, 2001)"
108.03	Al Wafa	"Jordan House No. 125, Street 54, Phase II, Hayatabad, Peshawar, Pakistan; Saudi Arabia; Kuwait; United Arab Emirates"	"UNSC (October 6, 2001)"
108.04	Al Wafa Organization	"Jordan House No. 125, Street 54, Phase II, Hayatabad, Peshawar, Pakistan; Saudi Arabia; Kuwait; United Arab Emirates"	"UNSC (October 6, 2001)"
108.05	Wafa Al-Igatha Al-Islamia	"Jordan House No. 125, Street 54, Phase II, Hayatabad, Peshawar, Pakistan; Saudi Arabia; Kuwait; United Arab Emirates"	"UNSC (October 6, 2001)"
109.00	Youssef M. Nada & Co. Gesellschaft M.B.H.	"Kaertner Ring 2/2/5/22, 1010 Vienna, Austria; Other information: Company dissolved in October 2002, deleted from Company Registry as of November 2002.  Premises vacated November 2002."	"UNSC (November 9, 2001); UNSC (26 novembre 2004)"
110.00	Youssef M. Nada	"Via Riasc 4, CH-6911 Campione d'Italia I, Italy"	"UNSC (November 9, 2001); UNSC (July 25, 2006)"
111.00	Vanguards of Conquest (VOC)		"CC (July 23, 2002)"
111.01	Avant-garde de la conquête (AGC)		"CC (July 23, 2002)"
112.00	Babbar Khalsa International (BKI)		"CC (June 18, 2003)"
113.00	International Sikh Youth Federation (ISYF)		"CC (June 18, 2003)"
113.03	La Fédération internationale de la jeunesse Sikh		"CC (June 18, 2003)"
114.00	New People's Army/Communist Party of the Philippines		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
114.01	Communist Party of the Philippines		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
114.02	New People's Army		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
114.03	Nouvelle Armée populaire/Parti communiste des Philippines		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
114.04	Nouvelle Armée du peuple		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
114.05	NPA/CPP		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
114.06	CPP		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
114.07	NPA		"RIUNRST (August 28, 2002); RIUNRST (June 23, 2006)"
121.00	Ba Taqwa for Commerce and Real Estate Company Limited	"Vaduz, Liechtenstein; formerly c/o Asat Trust reg."	"UNSC (September 3, 2002); UNSC (December 26, 2003)"
121.01	Hochburg AG	"Vaduz, Liechtenstein; formerly c/o Asat Trust reg."	"UNSC (September 3, 2002); UNSC (December 26, 2003)"
127.00	Nada International Anstalt	"Vaduz, Liechtenstein; Formerly c/o Asat Trust reg. Other Information:  Liquidated and deleted from Commercial Registry."	"UNSC (September 3, 2002); UNSC (December 23, 2008)"
129.00	Eastern Turkistan Islamic Movement		"UNSC (September 11, 2002); UNSC (October 3, 2008)"
129.01	The Eastern Turkistan Islamic Party		"UNSC (September 11, 2002); UNSC (October 3, 2008)"
129.02	The Eastern Turkistan Islamic Party of Allah		"UNSC (September 11, 2002); UNSC (October 3, 2008)"
129.03	Islamic Party of Turkestan		"UNSC (September 11, 2002); UNSC (October 3, 2008)"
129.04	Djamaat Turkistan		"UNSC (September 11, 2002); UNSC (October 3, 2008)"
130.00	Tunisian Combatant Group		"UNSC (October 10, 2002); UNSC (November 26, 2004); UNSC (March 5, 2009)"
130.01	Groupe Combattant Tunisien		"UNSC (October 10, 2002); UNSC (November 26, 2004); UNSC (March 5, 2009)"
130.02	Groupe Islamiste Combattant Tunisien		"UNSC (October 10, 2002); UNSC (November 26, 2004); UNSC (March 5, 2009)"
130.03	GICT		"UNSC (October 10, 2002); UNSC (November 26, 2004); UNSC (March 5, 2009)"
131.00	Moroccan Islamic Combatant Group		"UNSC (October 10, 2002); UNSC (March 5, 2009)"
131.01	Groupe Islamique Combattant Marocain		"UNSC (October 10, 2002); UNSC (March 5, 2009)"
131.02	GICM		"UNSC (October 10, 2002); UNSC (March 5, 2009)"
132.00	Global Relief Foundation (GRF)	"9935 South 76th Avenue, Unit 1, Bridgeview, Illinois 60455, United States of America; P.O. Box 1406, Bridgeview, Illinois 60455, United States of America; 49 rue du Lazaret, 67100 Strasebourg, France; Vaatjesstraat, 29, 2580 Putte, Belgium; Rue des Bataves 69, 1040 Etterbeek, Brussels, Belgium; P.O. Box 6, 1040 Etterbeek 2, Brussels, Belgium; Mula Mustafe Baseskije Street No. 72, Sarajevo, Bosnia and Herzegovina; Put Mladih Muslimana Street 30/A, Sarajevo, Bosnia and Herzegovina; 64 Potur Mahala Street, Travnik, Bosnia and Herzegovina; Rr. Skenderbeu 76, Lagjja Sefa, Gjakova, Kosovo; Ylli Morina Road, Djakovica, Kosovo; Rruga e Kavajes, Building No. 3, Apartment No. 61, P.O. Box 2892, Tirana, Albania; House 267 Street No. 54, Sector F – 11/4, Islamabad, Pakistan; Other information: Other foreign locations: Afghanistan, Azerbaijan, Bangladesh, Chechnya (Russia), China, Eritrea, Ethiopia, Georgia, India, Ingushetia (Russia), Iraq, Jordan, Lebanon, West Bank and Gaza, Sierra Leone, Somalia, Syria; Federal Employer Identification (United States of America): 36-3804626. V.A.T. Number: BE 454,419,759. Belgian addresses incorrect: these are the addresses of Putte et Bruxelles de l’association sans but lucratif since 1998"	"UNSC (October 22, 2002); UNSC (November 26, 2004); UNSC (December 20, 2005); UNSC (July 25, 2006); UNSC (March 24, 2009)"
132.15	Fondation Secours Mondial (FSM)	"9935 South 76th Avenue, Unit 1, Bridgeview, Illinois 60455, United States of America; P.O. Box 1406, Bridgeview, Illinois 60455, United States of America; 49 rue du Lazaret, 67100 Strasebourg, France; Vaatjesstraat, 29, 2580 Putte, Belgium; Rue des Bataves 69, 1040 Etterbeek, Brussels, Belgium; P.O. Box 6, 1040 Etterbeek 2, Brussels, Belgium; Mula Mustafe Baseskije Street No. 72, Sarajevo, Bosnia and Herzegovina; Put Mladih Muslimana Street 30/A, Sarajevo, Bosnia and Herzegovina; 64 Potur Mahala Street, Travnik, Bosnia and Herzegovina; Rr. Skenderbeu 76, Lagjja Sefa, Gjakova, Kosovo; Ylli Morina Road, Djakovica, Kosovo; Rruga e Kavajes, Building No. 3, Apartment No. 61, P.O. Box 2892, Tirana, Albania; House 267 Street No. 54, Sector F – 11/4, Islamabad, Pakistan; Other information: Other foreign locations: Afghanistan, Azerbaijan, Bangladesh, Chechnya (Russia), China, Eritrea, Ethiopia, Georgia, India, Ingushetia (Russia), Iraq, Jordan, Lebanon, West Bank and Gaza, Sierra Leone, Somalia, Syria; Federal Employer Identification (United States of America): 36-3804626. V.A.T. Number: BE 454,419,759. Belgian addresses incorrect: these are the addresses of Putte et Bruxelles de l’association sans but lucratif since 1998"	"UNSC (October 22, 2002); UNSC (November 26, 2004); UNSC (December 20, 2005); UNSC (July 25, 2006); UNSC (March 24, 2009)"
132.16	FSM	"9935 South 76th Avenue, Unit 1, Bridgeview, Illinois 60455, United States of America; P.O. Box 1406, Bridgeview, Illinois 60455, United States of America; 49 rue du Lazaret, 67100 Strasebourg, France; Vaatjesstraat, 29, 2580 Putte, Belgium; Rue des Bataves 69, 1040 Etterbeek, Brussels, Belgium; P.O. Box 6, 1040 Etterbeek 2, Brussels, Belgium; Mula Mustafe Baseskije Street No. 72, Sarajevo, Bosnia and Herzegovina; Put Mladih Muslimana Street 30/A, Sarajevo, Bosnia and Herzegovina; 64 Potur Mahala Street, Travnik, Bosnia and Herzegovina; Rr. Skenderbeu 76, Lagjja Sefa, Gjakova, Kosovo; Ylli Morina Road, Djakovica, Kosovo; Rruga e Kavajes, Building No. 3, Apartment No. 61, P.O. Box 2892, Tirana, Albania; House 267 Street No. 54, Sector F – 11/4, Islamabad, Pakistan; Other information: Other foreign locations: Afghanistan, Azerbaijan, Bangladesh, Chechnya (Russia), China, Eritrea, Ethiopia, Georgia, India, Ingushetia (Russia), Iraq, Jordan, Lebanon, West Bank and Gaza, Sierra Leone, Somalia, Syria; Federal Employer Identification (United States of America): 36-3804626. V.A.T. Number: BE 454,419,759. Belgian addresses incorrect: these are the addresses of Putte et Bruxelles de l’association sans but lucratif since 1998"	"UNSC (October 22, 2002); UNSC (November 26, 2004); UNSC (December 20, 2005); UNSC (July 25, 2006); UNSC (March 24, 2009)"
